"Name","Interval Breakdown","Host|CPU|Demand|Avg","Host|CPU|Demand|Max","Host|CPU|Usage|Avg","Host|CPU|Usage|Max","Host|Memory|Utilization|Avg","Host|Memory|Utilization|Max","Host|CPU|Contention (%)|Avg","Host|CPU|Contention (%)|Max","Host|CPU|Capacity Available to VMs|Last","Host|Memory|Capacity Available to VMs|Last","Host|Runtime|Maintenance State|Last"
"hostname1111.domain.at","12:00 AM 21 July 2026","49,491.68","56,450.98","40,440.99","48,623.33","541,147.19","542,149.81","0.34","0.49","124,544","1,536,409.75","notInMaintenance"
"hostname1111.domain.at","1:00 AM 21 July 2026","56,772.91","68,062.31","47,767.46","58,026.67","537,714.94","541,628.56","0.31","6.98","124,544","1,536,420.62","-"
"hostname1111.domain.at","2:00 AM 21 July 2026","52,404.06","59,168.52","43,294.07","50,831.4","534,372.59","536,868.69","0.36","0.61","124,544","1,536,448.38","-"
"hostname1111.domain.at","3:00 AM 21 July 2026","50,996.11","67,666.91","41,407.39","55,659.2","538,102.39","554,375.81","0.39","0.92","124,544","1,536,436.88","-"
"hostname1111.domain.at","4:00 AM 21 July 2026","50,634.29","66,356.78","41,356.17","57,735.2","542,752.42","547,215.75","0.38","0.43","124,544","1,536,437.12","-"
"hostname1111.domain.at","5:00 AM 21 July 2026","55,721.39","74,101.25","46,439.84","65,302.87","545,712.01","557,299.19","0.39","6.84","124,544","1,536,442.75","-"
"hostname1111.domain.at","6:00 AM 21 July 2026","63,439.37","87,051.05","53,969.24","78,375.73","545,371.42","552,534.12","0.31","0.84","124,544","1,536,427.88","-"
"hostname1111.domain.at","7:00 AM 21 July 2026","48,633.1","56,698.52","39,200.43","47,280.6","547,392.8","550,280.06","0.32","0.41","124,544","1,536,419.38","-"
"hostname1111.domain.at","8:00 AM 21 July 2026","53,647.72","58,822.65","44,253.73","49,727.67","553,408","555,002","0.28","0.42","124,544","1,536,430.38","-"
"hostname1111.domain.at","9:00 AM 21 July 2026","57,917.55","71,576.31","48,704.01","62,124.93","556,643.62","561,810.38","0.29","0.48","124,544","1,536,460.25","-"
"hostname1111.domain.at","10:00 AM 21 July 2026","64,795.52","78,676.38","55,467.42","70,912.13","564,275.59","568,621.62","0.22","0.84","124,544","1,536,105.75","-"
"hostname1111.domain.at","11:00 AM 21 July 2026","62,141.06","74,717.05","52,750.54","63,981.2","565,671.98","568,480.31","0.28","0.44","124,544","1,536,510","-"
"hostname1111.domain.at","12:00 PM 21 July 2026","54,006.63","68,420.12","44,496.92","58,320.93","568,184.34","569,116.12","0.32","0.46","124,544","1,536,513","-"
"hostname1111.domain.at","1:00 PM 21 July 2026","57,296.48","68,506.05","48,098.59","59,220","564,403.05","577,180","6.94","6.95","124,084.8","1,536,517.12","-"
"hostname1111.domain.at","2:00 PM 21 July 2026","61,087.57","80,911.11","51,657.02","75,044.07","535,839.43","540,867.12","0.34","0.9","124,544","1,536,507.62","-"
"hostname1111.domain.at","3:00 PM 21 July 2026","54,520.96","63,738.38","45,088.82","53,371","546,396.81","554,888","0.3","6.95","124,544","1,536,509.5","-"
"hostname1111.domain.at","4:00 PM 21 July 2026","66,323.58","78,445.98","57,471.44","71,509.27","543,745.48","545,113","0.34","0.43","124,544","1,536,487.62","-"
"hostname1111.domain.at","5:00 PM 21 July 2026","65,013.42","79,718.78","55,750.4","71,111.4","544,427.65","548,847.94","0.29","0.56","124,544","1,536,496.75","-"
"hostname1111.domain.at","6:00 PM 21 July 2026","59,339.56","66,410.65","49,959.65","59,364.13","530,943.31","538,190.56","0.33","13.56","124,544","1,536,520.25","-"
"hostname1111.domain.at","7:00 PM 21 July 2026","47,767.07","55,818.11","38,315.38","45,827.54","549,974.93","568,418.31","0.38","6.89","124,544","1,536,484.62","-"
"hostname1111.domain.at","8:00 PM 21 July 2026","46,559.12","53,960.58","37,479.5","47,154.87","552,601.33","564,370.69","0.37","6.95","124,544","1,536,494.75","-"
"hostname1111.domain.at","9:00 PM 21 July 2026","50,750.74","60,942.78","41,490.32","54,154.2","543,969.84","550,268.38","0.39","0.49","124,544","1,536,506.62","-"
"hostname1111.domain.at","10:00 PM 21 July 2026","46,428.63","54,074.85","37,220.31","43,482","540,715.05","543,436.81","0.38","6.97","124,544","1,536,473.62","-"
"hostname1111.domain.at","11:00 PM 21 July 2026","42,166.29","46,741.71","32,544.58","37,920.93","531,684.41","538,065.5","0.41","6.65","124,544","1,536,509.75","-"
"hostname1111.domain.at","12:00 AM 22 July 2026","44,174.2","49,843.95","35,488.32","41,700.6","529,652.08","531,373.88","0.39","7.09","124,544","1,536,492.62","-"
"hostname1111.domain.at","1:00 AM 22 July 2026","57,240.67","74,725.45","48,490.31","66,159.34","531,354.35","538,757.75","0.34","0.4","124,544","1,536,489.88","-"
"hostname1111.domain.at","2:00 AM 22 July 2026","56,216.98","71,771.65","46,754.5","61,926.07","487,326.23","522,611.62","0.34","0.34","124,544","1,536,521.25","-"
"hostname1111.domain.at","3:00 AM 22 July 2026","46,488.71","65,409.31","36,997.34","53,988.2","516,033.69","522,739.5","0.36","1.03","124,544","1,536,494.25","-"
"hostname1111.domain.at","4:00 AM 22 July 2026","48,446.31","63,693.71","39,364.38","54,558.67","516,861.02","518,617.19","0.34","0.39","124,544","1,536,498.75","-"
"hostname1111.domain.at","5:00 AM 22 July 2026","53,188.81","65,783.98","44,441.16","56,332.67","521,242.24","527,189.56","0.37","0.43","124,544","1,536,500.5","-"
"hostname1111.domain.at","6:00 AM 22 July 2026","60,519.41","90,491.65","51,189.2","81,770.07","523,329.03","528,448.56","0.28","0.76","124,544","1,536,509.88","-"
"hostname1111.domain.at","7:00 AM 22 July 2026","44,202.5","51,039.11","35,088.8","41,142.8","520,788.62","522,784.47","0.36","6.99","124,544","1,536,523.88","-"
"hostname1111.domain.at","8:00 AM 22 July 2026","49,532.88","54,615.91","40,263.92","45,377.54","537,542.91","543,397.56","0.31","0.39","124,544","1,536,570.38","-"
"hostname1111.domain.at","9:00 AM 22 July 2026","57,410.31","66,404.18","47,952.05","58,178.8","546,480.23","552,005.75","0.28","0.41","124,544","1,536,566.62","-"
"hostname1111.domain.at","10:00 AM 22 July 2026","62,761.71","79,502.38","53,909.26","72,678.73","546,045.26","550,268.94","0.28","0.66","124,544","1,536,544.5","-"
"hostname1111.domain.at","11:00 AM 22 July 2026","64,964.63","83,836.78","55,344.86","72,678.27","546,307.82","566,583.75","0.28","6.9","124,544","1,536,546.62","-"
"hostname1111.domain.at","12:00 PM 22 July 2026","48,505.89","60,803.38","39,179.21","52,419.46","541,235.98","552,838.75","13.6","13.6","124,084.8","1,536,476","-"
"hostname1111.domain.at","1:00 PM 22 July 2026","55,233.81","67,768.18","45,643.24","59,135.67","549,256.27","559,133.75","0.31","0.4","124,544","1,536,453","-"
"hostname1111.domain.at","2:00 PM 22 July 2026","60,700.69","81,217.65","51,567.76","73,836.2","548,891.17","552,011.25","6.96","6.96","124,544","1,536,456.88","-"
"hostname1111.domain.at","3:00 PM 22 July 2026","50,730.64","64,546.25","41,249.4","53,985.54","543,105.96","546,686.88","0.35","0.43","124,544","1,536,473.25","-"
"hostname1111.domain.at","4:00 PM 22 July 2026","61,672.59","76,349.71","52,523.65","68,485.66","545,945.48","547,233.62","0.36","0.58","124,544","1,536,470.88","-"
"hostname1111.domain.at","5:00 PM 22 July 2026","61,440.43","80,734.51","52,337.66","75,676.4","544,842.32","552,324.94","0.36","6.96","124,544","1,536,460.5","-"
"hostname1111.domain.at","6:00 PM 22 July 2026","58,888.49","65,609.98","49,279.71","56,188.93","536,041.85","537,552.94","0.41","0.81","124,544","1,536,484.62","-"
"hostname1111.domain.at","7:00 PM 22 July 2026","48,371.61","64,289.38","38,568.05","54,380.33","549,693.94","563,011.19","0.34","0.45","124,544","1,536,437.38","-"
"hostname1111.domain.at","8:00 PM 22 July 2026","48,592.3","58,433.11","39,263.68","47,988.46","561,984.6","564,550","0.32","0.5","124,544","1,536,427.88","-"
"hostname1111.domain.at","9:00 PM 22 July 2026","51,339.16","61,777.98","41,981.74","54,004.8","568,602.36","577,305.81","0.31","7","124,544","1,536,456.25","-"
"hostname1111.domain.at","10:00 PM 22 July 2026","50,258.44","60,677.31","40,610.47","50,049.33","558,935.26","568,394.06","0.32","6.67","124,544","1,536,422.12","-"
"hostname1111.domain.at","11:00 PM 22 July 2026","43,191.65","47,270.52","33,677.36","38,198.2","548,783.95","554,060.31","0.41","6.98","124,544","1,536,452.12","-"
"hostname1111.domain.at","12:00 AM 23 July 2026","43,261.39","47,483.98","33,825.64","37,540.54","543,230.07","544,696.69","0.36","0.49","124,544","1,536,458.88","-"
"hostname1111.domain.at","1:00 AM 23 July 2026","48,234.08","58,152.38","39,091.72","49,133.87","541,838.19","550,141.06","0.39","13.62","124,544","1,536,450.75","-"
"hostname1111.domain.at","2:00 AM 23 July 2026","43,700.24","56,193.78","34,144.18","45,506.13","525,007.68","535,319.81","7.05","7.05","124,544","1,536,443.12","-"
"hostname1111.domain.at","3:00 AM 23 July 2026","49,135.87","74,406.91","39,725.42","61,413.07","527,097.91","532,510.5","0.35","0.86","124,544","1,536,451.12","-"
"hostname1111.domain.at","4:00 AM 23 July 2026","48,868.53","68,456.38","39,408.14","59,034.4","524,023.14","526,340.25","0.37","7.03","124,544","1,536,450.62","-"
"hostname1111.domain.at","5:00 AM 23 July 2026","56,078.21","70,449.8","47,118.2","62,149.4","528,107.27","534,623.81","0.36","0.52","124,544","1,536,443.38","-"
"hostname1111.domain.at","6:00 AM 23 July 2026","66,962.33","91,690.71","57,476.81","82,328.47","528,302.51","533,158.06","0.23","6.83","124,544","1,536,468.38","-"
