"Name","Interval Breakdown","VM|CPU|Demand (MHz)|Avg","VM|CPU|Ready (%)|Max"
"servername9901","12:00 AM 21 July 2026","1,546.6","0.44"
"servername9901","1:00 AM 21 July 2026","1,749.04","0.46"
"servername9901","2:00 AM 21 July 2026","1,524.24","0.4"
"servername9901","3:00 AM 21 July 2026","5,342.78","0.33"
"servername9901","4:00 AM 21 July 2026","5,527.35","0.32"
"servername9901","5:00 AM 21 July 2026","5,515.82","0.31"
"servername9901","6:00 AM 21 July 2026","5,995.6","0.4"
"servername9901","7:00 AM 21 July 2026","5,896.19","0.36"
"servername9901","8:00 AM 21 July 2026","8,175.75","0.48"
"servername9901","9:00 AM 21 July 2026","6,487.21","0.4"
"servername9901","10:00 AM 21 July 2026","6,290.83","0.44"
"servername9901","11:00 AM 21 July 2026","6,628.7","0.45"
"servername9901","12:00 PM 21 July 2026","6,822.9","0.43"
"servername9901","1:00 PM 21 July 2026","6,481.21","0.42"
"servername9901","2:00 PM 21 July 2026","6,829.27","0.44"
"servername9901","3:00 PM 21 July 2026","6,138.06","0.37"
"servername9901","4:00 PM 21 July 2026","6,466.79","0.48"
"servername9901","5:00 PM 21 July 2026","7,306.59","0.43"
"servername9901","6:00 PM 21 July 2026","6,155.97","0.39"
"servername9901","7:00 PM 21 July 2026","5,600.11","0.34"
"servername9901","8:00 PM 21 July 2026","6,154.19","0.3"
"servername9901","9:00 PM 21 July 2026","9,102.69","0.3"
"servername9901","10:00 PM 21 July 2026","4,737.23","0.32"
"servername9901","11:00 PM 21 July 2026","5,581.31","0.29"
"servername9901","12:00 AM 22 July 2026","1,583.02","0.41"
"servername9901","1:00 AM 22 July 2026","3,278.64","0.47"
"servername9901","2:00 AM 22 July 2026","6,094.92","0.36"
"servername9901","3:00 AM 22 July 2026","4,491.02","0.31"
"servername9901","4:00 AM 22 July 2026","4,868.29","0.3"
"servername9901","5:00 AM 22 July 2026","4,954.39","0.3"
"servername9901","6:00 AM 22 July 2026","5,332.33","0.3"
"servername9901","7:00 AM 22 July 2026","5,719.46","0.32"
"servername9901","8:00 AM 22 July 2026","6,419.5","0.36"
"servername9901","9:00 AM 22 July 2026","5,972.11","0.41"
"servername9901","10:00 AM 22 July 2026","6,016.45","0.4"
"servername9901","11:00 AM 22 July 2026","6,366.26","0.43"
"servername9901","12:00 PM 22 July 2026","5,994.48","0.34"
"servername9901","1:00 PM 22 July 2026","5,890.51","0.41"
"servername9901","2:00 PM 22 July 2026","6,188.99","0.43"
"servername9901","3:00 PM 22 July 2026","5,991.14","0.36"
"servername9901","4:00 PM 22 July 2026","6,305.99","0.4"
"servername9901","5:00 PM 22 July 2026","5,550.6","0.32"
"servername9901","6:00 PM 22 July 2026","5,588.24","0.39"
"servername9901","7:00 PM 22 July 2026","6,130.16","0.32"
"servername9901","8:00 PM 22 July 2026","5,250.58","0.34"
"servername9901","9:00 PM 22 July 2026","6,026.37","0.34"
"servername9901","10:00 PM 22 July 2026","4,721.87","0.36"
"servername9901","11:00 PM 22 July 2026","5,439.09","0.29"
"servername9901","12:00 AM 23 July 2026","1,374.36","0.31"
"servername9901","1:00 AM 23 July 2026","1,329.78","0.34"
"servername9901","2:00 AM 23 July 2026","1,313.13","0.31"
"servername9901","3:00 AM 23 July 2026","5,827.04","0.32"
"servername9901","4:00 AM 23 July 2026","5,198.18","0.28"
"servername9901","5:00 AM 23 July 2026","5,271.02","0.29"
"servername9901","6:00 AM 23 July 2026","5,893.26","0.39"
"servername9901","7:00 AM 23 July 2026","5,674.78","0.34"
"servername9901","8:00 AM 23 July 2026","5,792.86","0.36"
"servername9901","9:00 AM 23 July 2026","5,709.48","0.35"
"servername9901","10:00 AM 23 July 2026","5,839.94","0.38"
"servername9901","11:00 AM 23 July 2026","6,145.79","0.37"
"servername9901","12:00 PM 23 July 2026","6,190.43","0.36"
"servername9901","1:00 PM 23 July 2026","5,742.98","0.44"
"servername9901","2:00 PM 23 July 2026","6,036.24","0.42"
"servername9901","3:00 PM 23 July 2026","5,701.61","0.38"
"servername9901","4:00 PM 23 July 2026","6,331.29","0.49"
"servername9901","5:00 PM 23 July 2026","6,073.11","0.39"
"servername9901","6:00 PM 23 July 2026","5,704.83","0.4"
"servername9901","7:00 PM 23 July 2026","5,367.17","0.29"
"servername9901","8:00 PM 23 July 2026","6,028.92","0.39"
"servername9901","9:00 PM 23 July 2026","6,566.79","0.4"
"servername9901","10:00 PM 23 July 2026","4,472.37","0.43"
"servername9901","11:00 PM 23 July 2026","4,465.41","0.38"
"servername9901","12:00 AM 24 July 2026","1,449.59","0.31"
"servername9901","1:00 AM 24 July 2026","2,206","0.35"
"servername9901","2:00 AM 24 July 2026","1,189.39","0.35"
"servername9901","3:00 AM 24 July 2026","5,045.33","0.41"
"servername9901","4:00 AM 24 July 2026","5,367.81","0.32"
"servername9901","5:00 AM 24 July 2026","5,361.52","0.34"
"servername9901","6:00 AM 24 July 2026","5,957.88","0.42"
"servername9901","7:00 AM 24 July 2026","5,962.12","0.38"
"servername9901","8:00 AM 24 July 2026","5,769.67","0.38"
"servername9901","9:00 AM 24 July 2026","5,623.54","0.46"
"servername9901","10:00 AM 24 July 2026","5,845.81","0.49"
"servername9901","11:00 AM 24 July 2026","6,229.73","0.5"
"servername9901","12:00 PM 24 July 2026","5,827.4","0.4"
"servername9901","1:00 PM 24 July 2026","6,753.51","0.45"
"servername9901","2:00 PM 24 July 2026","5,954.67","0.45"
"servername9901","3:00 PM 24 July 2026","6,156.39","0.38"
"servername9901","4:00 PM 24 July 2026","6,497.96","0.57"
"servername9901","5:00 PM 24 July 2026","6,076.4","0.46"
"servername9901","6:00 PM 24 July 2026","5,636.12","0.4"
"servername9901","7:00 PM 24 July 2026","5,494.03","0.35"
"servername9901","8:00 PM 24 July 2026","5,041.19","0.37"
"servername9901","9:00 PM 24 July 2026","7,639.84","0.41"
"servername9901","10:00 PM 24 July 2026","5,002.34","0.52"
"servername9901","11:00 PM 24 July 2026","4,681.11","0.4"
"servername9901","12:00 AM 25 July 2026","1,390.99","0.36"
"servername9901","1:00 AM 25 July 2026","1,412.5","0.38"
"servername9901","2:00 AM 25 July 2026","1,281.81","0.36"
"servername9901","3:00 AM 25 July 2026","5,202.81","0.39"
"servername9901","4:00 AM 25 July 2026","5,914.58","0.37"
"servername9901","5:00 AM 25 July 2026","5,371.19","0.38"
"servername9901","6:00 AM 25 July 2026","6,769.81","0.46"
"servername9901","7:00 AM 25 July 2026","5,678.17","0.36"
"servername9901","8:00 AM 25 July 2026","5,376.33","0.36"
"servername9901","9:00 AM 25 July 2026","5,376.76","0.38"
"servername9901","10:00 AM 25 July 2026","5,893.04","0.39"
"servername9901","11:00 AM 25 July 2026","4,519.92","0.36"
"servername9901","12:00 PM 25 July 2026","5,735.31","0.38"
"servername9901","1:00 PM 25 July 2026","5,461.01","0.39"
"servername9901","2:00 PM 25 July 2026","5,963.56","0.4"
"servername9901","3:00 PM 25 July 2026","4,555.27","0.39"
"servername9901","4:00 PM 25 July 2026","6,586.81","0.37"
"servername9901","5:00 PM 25 July 2026","5,962.11","0.38"
"servername9901","6:00 PM 25 July 2026","6,157.07","0.39"
"servername9901","7:00 PM 25 July 2026","5,662.44","0.34"
"servername9901","8:00 PM 25 July 2026","5,855.01","0.38"
"servername9901","9:00 PM 25 July 2026","6,927.16","0.41"
"servername9901","10:00 PM 25 July 2026","6,237.16","0.43"
"servername9901","11:00 PM 25 July 2026","5,912.82","0.43"
"servername9901","12:00 AM 26 July 2026","1,835.48","0.34"
"servername9901","1:00 AM 26 July 2026","10,639.25","0.3"
"servername9901","2:00 AM 26 July 2026","4,293.37","0.35"
"servername9901","3:00 AM 26 July 2026","5,367.9","0.39"
"servername9901","4:00 AM 26 July 2026","10,435.94","0.41"
"servername9901","5:00 AM 26 July 2026","12,536.01","0.41"
"servername9901","6:00 AM 26 July 2026","7,770.54","0.41"
"servername9901","7:00 AM 26 July 2026","7,675.51","0.34"
"servername9901","8:00 AM 26 July 2026","7,671.01","0.36"
"servername9901","9:00 AM 26 July 2026","8,048.06","0.37"
"servername9901","10:00 AM 26 July 2026","8,184.79","0.37"
"servername9901","11:00 AM 26 July 2026","8,194.07","0.33"
"servername9901","12:00 PM 26 July 2026","8,157.03","0.36"
